Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
MIS,322,[M] Enterprise Business Process Analysis,01,14798,3,ARRGT,ARR ARR,""
MKTG,360,Marketing,01,12100,3,ARRGT,ARR ARR,Thomas Kokta
SOIL_SCI,101,Organic Gardening and Farming,01,12466,3,ARRGT,ARR ARR,Lynne Carpenter-Boggs
SOIL_SCI,201,[BSCI] Soil: A Living System,01,12156,3,ARRGT,ARR ARR,Gabriel Lahue
SOIL_SCI,368,Introduction to Geographic Information Systems,01,12467,3,ARRGT,ARR ARR,Leah Brueggeman
SOIL_SCI,368,Introduction to Geographic Information Systems,01 Lab,12468,0,ARRGT,ARR ARR,Leah Brueggeman
SOIL_SCI,479,Organic Farm and Garden Field Management,01,12470,2,ARRGT,ARR ARR,Bradley Jaeckel
STAT,360,Probability and Statistics,01,12169,3,"TU,TH10.35-11.50","",Haijun Li
STAT,370,Introductory Statistics for Engineers,01,12191,3,"M,W,F11.10-12","",Gordon Taub
STAT,419,Introduction to Multivariate Statistics,01,12691,3,ARRGT,ARR ARR,Xiongzhi Chen
STAT,435,[M] Statistical Modeling for Data Analytics,02,15070,3,ARRGT,ARR ARR,Abhishek Kaul
STAT,435,[M] Statistical Modeling for Data Analytics,02 Lab,15071,0,ARRGT,ARR ARR,Abhishek Kaul
STAT,443,Applied Probability,01,15950,3,"TU,TH9.10-10.25","",Haijun Li
WRIT,302,Advanced Writing Collaborative,01,12668,1,ARRGT,ARR ARR,""
