Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room
HBM,494,[M] Service Operations Management,02,12166,3,TH15.10-18,""
HBM,495,[CAPS] Case Studies and Research,01,12150,3,"TU,TH10.35-11.50",""
HISTORY,305,[ROOT] Roots of Contemporary Issues For Transfer Students,02,12278,3,ARRGT,ARR ARR
HORT,102,Introduction to Cultivated Plants,01,12658,3,"M,W,F11.10-12",""
HORT,310,Pomology,01,12154,3,"TU,TH13.30-14.45",""
I_BUS,380,International Business,01,12174,3,ARRGT,ARR ARR
I_BUS,453,[M] International Management,01,12370,3,ARRGT,ARR ARR
MATH,216,Discrete Structures,01,12180,3,"M,W,F9.10-10",""
MATH,300,Mathematical Computing,01,12557,3,"M,W,F14.10-15",""
MATH,405,Introduction to Financial Mathematics,01,12556,3,"M,W,F10.10-11",""
ME,303,Fluid Mechanics,01,12114,3,"M,W,F10.10-11",""
ME,306,Thermal and Fluids Laboratory,01,12119,2,TU9.10-10,""
ME,306,Thermal and Fluids Laboratory,01 Lab,12120,0,TU10.10-13,""
ME,306,Thermal and Fluids Laboratory,02 Lab,12121,0,TH10.10-13,""
ME,313,Engineering Analysis,01,12116,3,"M,W13.10-14",""
ME,313,Engineering Analysis,01 Lab,12117,0,W14.10-17,""
ME,313,Engineering Analysis,02 Lab,12189,0,F13.10-16,""
ME,316,Mechanical Component Analysis and Design,01,12112,3,"M,W,F11.10-12",""
ME,405,Thermal Systems Design,01,12115,3,"M,W,F12.10-13",""
ME,415,[M] Engineering Design,01,12113,3,"M,W,F13.10-14",""
ME,436,Combustion Engines,01,12118,3,"M,W,F15.10-16",""
ME,461,Introduction to Nuclear Engineering,01,12122,3,"TU,TH16.20-17.35",""
ME,466,Fundamentals of Engineering Examination Review,01,12190,1,"M,W16.10-19",""
MED_CLIN,522,Longitudinal Integrated Clerkship II,01,12736,14,ARRGT,ARR ARR
MED_LMH,521,Quality and Safety in Healthcare: Medical Errors,01,12735,1,ARRGT,ARR ARR
MED_LMH,531,Personal Leadership Development I,01,16304,1,ARRGT,ARR ARR
MGMT,301,Principles of Management and Organization,01,12101,3,ARRGT,ARR ARR
MGMT,450,Personnel and Human Resources Management,01,12138,3,ARRGT,ARR ARR
MIS,250,Managing Information Technology,02,12357,3,ARRGT,ARR ARR
MIS,322,[M] Enterprise Business Process Analysis,01,14798,3,ARRGT,ARR ARR
MKTG,360,Marketing,01,12100,3,ARRGT,ARR ARR
SOIL_SCI,101,Organic Gardening and Farming,01,12466,3,ARRGT,ARR ARR
SOIL_SCI,201,[BSCI] Soil: A Living System,01,12156,3,ARRGT,ARR ARR
SOIL_SCI,368,Introduction to Geographic Information Systems,01,12467,3,ARRGT,ARR ARR
SOIL_SCI,368,Introduction to Geographic Information Systems,01 Lab,12468,0,ARRGT,ARR ARR
SOIL_SCI,479,Organic Farm and Garden Field Management,01,12470,2,ARRGT,ARR ARR
STAT,360,Probability and Statistics,01,12169,3,"TU,TH10.35-11.50",""
STAT,370,Introductory Statistics for Engineers,01,12191,3,"M,W,F11.10-12",""
STAT,419,Introduction to Multivariate Statistics,01,12691,3,ARRGT,ARR ARR
STAT,435,[M] Statistical Modeling for Data Analytics,02,15070,3,ARRGT,ARR ARR
STAT,435,[M] Statistical Modeling for Data Analytics,02 Lab,15071,0,ARRGT,ARR ARR
STAT,443,Applied Probability,01,15950,3,"TU,TH9.10-10.25",""
WRIT,302,Advanced Writing Collaborative,01,12668,1,ARRGT,ARR ARR
