Prefix,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room
COMSTRAT,312 Principles of Public Relations,01,03003,3,"M,W14.50-16.05",VLIB 201
COMSTRAT,380 Advertising Principles and Practices,01,02834,3,"TU,TH10.35-11.50",VMMC 214
COMSTRAT,383 [M] Media Strategies and Techniques for Public Relations,01,14895,3,ARRGT,ARR ARR
COMSTRAT,485 [M] Public Relations Management and Campaigns,01,02891,3,"TU,TH13.25-14.40",VUB 100
COMSTRAT,495 Strategic Communication Professional Internship,01,02885,V,ARRGT,ARR ARR
CRM_J,101 [SSCI] Introduction to the Administration of Criminal Justice,01,02545,3,"TU,TH10.35-11.50",VECS 122
CRM_J,330 Crime Control Policies,01,02955,3,"TU,TH13.25-14.40",VUB 107
CRM_J,420 [M] Criminal Procedure,01,13057,3,"TU,TH9.10-10.25",VMMC 16
CRM_J,426 Victimology and Public Policy,01,13058,3,"TU,TH14.50-16.05",VLIB 265
CRM_J,428 Drug and Alcohol Use and Abuse,01,13059,3,TU17.45-20.30,VLIB 260
CS,121 Program Design and Development,01,02819,4,"TU,TH12-13.15",VSCI 12
CS,121 Program Design and Development,01 Lab,02820,0,TU14.50-17.20,VECS 325
CS,121 Program Design and Development,02 Lab,02821,0,W10.35-13.05,VECS 325
CS,121 Program Design and Development,03 Lab,02822,0,TH14.50-17.20,VECS 325
CS,121 Program Design and Development,04 Lab,02873,0,F10.35-13.05,VECS 325
CS,223 Advanced Data Structures,01,02770,3,"M,W,F13.25-14.15",VECS 104
CS,260 Computer Organization,01,02771,3,"M,W10.35-11.50",VECS 122
CS,317 Automata and Formal Languages,01,02772,3,"TU,TH12-13.15",VUB 1
CS,317 Automata and Formal Languages,02,15410,3,"TU,TH13.25-14.40",VMMC 16
CS,320 [M] Fundamentals of Software Engineering,01,02773,3,"M,W10.35-11.50",VMMC 6
CS,330 Numerical Computing,01,02774,3,"M,W14.50-16.05",VECS 104
CS,420 [CAPS] Software Design Project I,01,02775,3,"M,W16.15-17.30",VUB 1
CS,425 Digital Forensics,01,13044,3,"M,W9.10-10.25",VECS 122
CS,426 Applied Systems Security,01,03030,3,"TU,TH14.50-16.05",VECS 104
CS,447 Computer Game Design,01,02776,3,"M,W13.25-14.40",VSCI 255
CS,450 Design and Analysis of Algorithms,01,02777,3,"M,W12-13.15",VDEN 110
CS,453 Cloud Data Management,01,02778,3,"TU,TH13.25-14.40",VSCI 255
CS,454 Information Retrieval,01,13045,3,"TU,TH9.10-10.25",VECS 122
CS,483 Topics in Computer Science,01,02947,3,"M,W7.45-9",VECS 104
CS,501 Cloud Systems,01,13046,3,"TU,TH9.10-10.25",VSCI 19
CS,518 Advanced Analysis of Algorithms,01,03231,3,"M,W9.10-10.25",VLIB 260
CS,547 Computer Game Design,01,13048,3,"M,W13.25-14.40",VSCI 255
CS,"700 Master's Research, Thesis, and/or Examination",01,02780,V,ARRGT,ARR ARR
DATA,115 Introduction to Data Analytics,02,03012,3,"TU,TH12.05-13.20",AMS VAN
DTC,101 [ARTS] Introduction to Digital Technology & Culture,01,02693,3,"M,W,F9.10-10",VLIB 261
DTC,101 [ARTS] Introduction to Digital Technology & Culture,02,02694,3,"M,W10.35-11.50",GUC VAN
DTC,101 [ARTS] Introduction to Digital Technology & Culture,03,02893,3,"TU,TH10.35-11.50",GUC VAN
DTC,101 [ARTS] Introduction to Digital Technology & Culture,04,02938,3,M13.25-16.05,GUC VAN
DTC,201 [ARTS] Tools and Methods for Digital Technology,01,02755,3,"TU,TH9.10-10.25",VMMC 111
DTC,201 [ARTS] Tools and Methods for Digital Technology,02,02844,3,"M,W10.35-11.50",VMMC 111
DTC,201 [ARTS] Tools and Methods for Digital Technology,04,03075,3,"M,W12-13.15",VMMC 111
DTC,208 [ARTS] Introduction to Digital Cinema,01,03000,3,M17.45-20.30,VMMC 111
DTC,331 Social Media Practices,01,03132,3,"M,W16.15-17.30",VMMC 115
DTC,335 3D Digital Animation,01,02702,3,"TU,TH10.35-11.50",VMMC 111
DTC,335 3D Digital Animation,02,16456,3,"TU,TH10.35-11.50",VCLS 224
DTC,335 3D Digital Animation,01 Lab,02703,0,ARRGT,ARR ARR
DTC,335 3D Digital Animation,02 Lab,16457,0,ARRGT,ARR ARR
DTC,336 Multimedia Design,01,02756,3,"TU,TH16.15-17.30",VMMC 111
DTC,336 Multimedia Design,02,03085,3,TU17.45-20.30,VMMC 111
DTC,338 Special Topics in Digital Technology and Culture,01,02713,3,W17.45-20.30,VCLS 224
DTC,338 Special Topics in Digital Technology and Culture,02,14014,3,M13.25-16.05,VMMC 111
DTC,354 Digital Storytelling,01,02714,3,ARRGT,ARR ARR
DTC,355 [M] Multimedia Authoring,01,02697,3,"TU,TH13.25-14.40",VMMC 111
DTC,355 [M] Multimedia Authoring,02,13590,3,F14.10-17,VMMC 111
DTC,356 [M] Information Structures,01,02698,3,"M,W12-13.15",VMMC 115
DTC,356 [M] Information Structures,02,02996,3,"M,W16.15-17.30",VMMC 111
DTC,"375 [M] Language, Texts and Technology",01,02712,3,"TU,TH12-13.15",VMMC 111
DTC,"375 [M] Language, Texts and Technology",02,02997,3,W17.45-20.30,VMMC 111
DTC,392 Video Games Theories and History,01,03076,3,F11.10-14,VMMC 111
DTC,477 Advanced Multimedia Authoring,01,02699,3,"TU,TH14.50-16.05",VMMC 111
DTC,478 Usability and Interface Design,01,02700,3,M13.25-16.05,VCLS 224
DTC,497 [CAPS] Senior Seminar,01,02701,3,W13.25-16.05,VMMC 111
DTC,498 Internship,01,02696,V,ARRGT,ARR ARR
DTC,499 Special Problems,01,02695,V,ARRGT,ARR ARR
E_A,300 Educ Abroad,01,02524,V,ARRGT,ARR ARR
E_A,301 Educ Abroad,01,02833,V,ARRGT,ARR ARR
ECE,101 Introduction to Electrical Engineering,01,02789,2,M12-12.50,VECS 104
ECE,101 Introduction to Electrical Engineering,01 Lab,02790,0,M14.50-17.20,VECS 220
ECE,101 Introduction to Electrical Engineering,02 Lab,02835,0,M14.50-17.20,VECS 221
ECE,214 Design of Logic Circuits,01,02791,3,"W,F14.50-15.40",VSCI 12
ECE,214 Design of Logic Circuits,01 Lab,02792,0,W15.55-18.25,VECS 220
ECE,214 Design of Logic Circuits,02 Lab,02793,0,W15.55-18.25,VECS 221
ECE,321 Circuit Modeling and Analysis II,01,02786,3,"TU,TH12-13.15",VECS 122
ECE,325 Electronic Devices and Applications,01,02794,4,"M,W10.35-11.50",VECS 104
ECE,325 Electronic Devices and Applications,01 Lab,02795,0,TU14.50-17.20,VECS 220
ECE,325 Electronic Devices and Applications,02 Lab,02912,0,TU14.50-17.20,VECS 221
ECE,345 Introduction to Digital Communications,01,13043,3,"W,F14.50-16.05",VECS 122
ECE,349 Principles of Solid State Devices,01,03027,3,"TU,TH13.25-14.40",VECS 122
ECE,411 Energy Systems,01,02796,3,"TU,TH16.15-17.05",VECS 104
ECE,411 Energy Systems,01 Lab,02797,0,TU17.20-19.50,VECS 327
ECE,411 Energy Systems,02 Lab,02798,0,TH17.20-19.50,VECS 327
ECE,414 Introduction to Digital Signal Processing,01,02911,3,"M,W10.35-11.50",VLIB 264
ECE,414 Introduction to Digital Signal Processing,01 Lab,02913,0,W7.45-10.15,VECS 325
ECE,421 Introduction to Solar Cells,01,02799,3,"W,F13.25-14.15",VECS 105
ECE,421 Introduction to Solar Cells,01 Lab,02800,0,TH13.25-15.55,VECS 220
ECE,421 Introduction to Solar Cells,02 Lab,02801,0,F9.10-11.40,VECS 220
ECE,425 RF Devices and Circuits,01,02802,3,"M,W12-12.50",VECS 122
ECE,425 RF Devices and Circuits,01 Lab,02803,0,M13.25-15.55,VECS 320
ECE,425 RF Devices and Circuits,02 Lab,02870,0,W13.25-15.55,VECS 320
ECE,451 Capstone Design I,01,02804,2,"W,F16.15-17.05",VECS 104
ECE,461 Power Systems Analysis and Design I,01,02788,3,W17.45-20.30,VSCI 12
ECE,525 Experimental Methods for Electrical Engineering,01,02914,3,"W,F13.25-14.40",VSCI 12
ECE,533 Advanced Antenna Design,01,02999,3,"M,W10.35-11.50",VUB 124
ECE,586 Solid State Device Design and Modeling,01,03028,3,"TU,TH9.10-10.25",VECS 225
ECE,"700 Master's Research, Thesis, and/or Examination",01,02924,V,ARRGT,ARR ARR
ECONS,305 Intermediate Microeconomics without Calculus,01,02989,3,ARRGT,ARR ARR
ED_AD,501 Philosophy of Education,01,02909,3,W17.45-20.30,VUB 311
ED_AD,507 Social Foundations of Education,02,13938,3,ARRGT,ARR ARR
ED_AD,509 Leading School Improvement,01,03016,3,M17.45-20.30,VUB 126
ED_AD,512 Leadership Studies for Social Justice,01,02572,3,TU17.45-20.30,VECS 125
ED_AD,580 School Organization and Administration,01,03158,3,TU17.45-20.30,VECS 120
ED_AD,581 Politics in Education,01,02573,3,ARRGT,ARR ARR
ED_AD,587 Seminar in School Administration,01,02574,3,ARRGT,ARR ARR
ED_AD,588 The Law and Education,01,12979,3,TH17.45-20.30,VUB 124
ED_AD,589 Leadership Development Seminar,01,02598,3,W17.45-20.30,VUB 126
ED_AD,590 Internship,01,02599,3,ARRGT,ARR ARR
ED_AD,590 Internship,02,02895,3,ARRGT,ARR ARR
ED_AD,600 Special Projects or Independent Study,01,02943,3,ARRGT,ARR ARR
