Prefix,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room
MATH,171 [QUAN] Calculus I,W13.25-14.40,VMMC 1,Aug 24--Dec 11, ,""
MATH,171 [QUAN] Calculus I,02 Lab,02740,0,TU9.10-10.25,VUB 202
MATH,171 [QUAN] Calculus I,TH9.10-10.25,VMMC 1,Aug 24--Dec 11, ,""
MATH,171 [QUAN] Calculus I,03 Lab,02864,0,TU10.35-11.50,VUB 202
MATH,171 [QUAN] Calculus I,TH10.35-11.50,VUB 226,Aug 24--Dec 11, ,""
MATH,172 Calculus II,01,02741,4,"M,W,F9.10-10",VMMC 22
MATH,172 Calculus II,01 Lab,02742,0,TU9.10-10.25,VMMC 1
MATH,172 Calculus II,TH9.10-10.25,VUB 202,Aug 24--Dec 11, ,""
MATH,172 Calculus II,02 Lab,02743,0,TU10.35-11.50,VUB 226
MATH,172 Calculus II,TH10.35-11.50,VUB 202,Aug 24--Dec 11, ,""
MATH,201 Mathematics for Business and Economics,01,02569,3,"M,W10.35-11.50",VMMC 214
MATH,202 [QUAN] Calculus for Business and Economics,01,02570,3,"W,F10.35-11.50",VMMC 1
MATH,216 Discrete Structures,02,14806,3,"M,W,F9.10-10",AMS VAN
MATH,220 Introductory Linear Algebra,01,02723,2,"TU,TH10.35-11.25",VSCI 19
MATH,220 Introductory Linear Algebra,02,02724,2,"TU,TH14.50-15.40",VMMC 23
MATH,251 Fundamentals of Elementary Mathematics I,01,02824,3,TU17.45-19.25,VUB 226
MATH,251 Fundamentals of Elementary Mathematics I,01 Lab,02825,0,TH17.45-19.25,VUB 226
MATH,273 Calculus III,01,02725,2,"TU,TH10.35-11.25",VLIB 264
MATH,273 Calculus III,02,02726,2,"TU,TH13.25-14.15",VMMC 1
MATH,315 Differential Equations,01,02863,3,"TU,TH9.10-10.25",VUB 221
MATH,330 Methods of Teaching Secondary School Mathematics,01,02981,3,"M,W,F15.10-16",AMS VAN
MATH,401 [M] Introduction to Analysis I,01,03098,3,"M,W,F10.10-11",AMS VAN
MATH,405 Introduction to Financial Mathematics,01,15418,3,"M,W,F10.10-11",AMS VAN
MATH,416 Numerical Simulations for Probabilistic Models,01,13656,3,"M,W,F11.10-12",VECS 309
MATH,453 Graph Theory,01,03099,3,"M,W,F14.10-15",VECS 120
MATH,466 Optimization in Networks,01,13596,3,"TU,TH10.35-11.50",VECS 209
MATH,499 Special Problems,01,03006,V,ARRGT,ARR ARR
MATH,501 Real Analysis,01,02901,3,"M,W,F11.10-12",VMMC 102Q
MATH,512 Ordinary Differential Equations,01,15617,3,"M,W,F9.10-10",AMS VAN
MATH,516 Numerical Simulations for Probabilistic Models,01,13657,3,"M,W,F11.10-12",VECS 309
MATH,525 General Topology,01,13648,3,"M,W,F13.10-14",VMMC 202Q
MATH,533 Teaching College Mathematics,01,02950,1,TU16.15-17.05,VMMC 23
MATH,553 Graph Theory,01,03100,3,"M,W,F14.10-15",VECS 120
MATH,566 Optimization in Networks,01,13597,3,"TU,TH10.35-11.50",VECS 209
MATH,586 Mathematical Methods in Natural Sciences,01,13658,3,"M,W,F12.10-13",AMS VAN
MATH,591 Seminar in Mathematical Biology,01,15590,1,TU16.10-17,AMS VAN
MATH,592 Seminar in Analysis,01,02876,1,W13.25-14.15,VSCI 19
MATH,600 Special Projects or Independent Study,01,02841,V,ARRGT,ARR ARR
MATH,"702 Master's Special Problems, Directed Study, and/or Examination",01,02840,V,ARRGT,ARR ARR
MATH,"800 Doctoral Research, Dissertation, and/or Examination",01,02535,V,ARRGT,ARR ARR
MBIOS,304 Microbiology and Molecular Biology Laboratory,01,02888,3,TU10.35-11.25,VSCI 12
MBIOS,304 Microbiology and Molecular Biology Laboratory,01 Lab,02889,0,"TU,TH13.25-16.05",VSCI 114
MBIOS,305 General Microbiology,01,02656,3,"TU,TH16.15-17.30",VSCI 12
MBIOS,478 Bioinformatics,01,02868,3,ARRGT,ARR ARR
MBIOS,478 Bioinformatics,01 Lab,02869,0,ARRGT,ARR ARR
MBIOS,499 Special Problems,01,02590,V,ARRGT,ARR ARR
MBIOS,578 Bioinformatics,01,02904,3,ARRGT,ARR ARR
MBIOS,578 Bioinformatics,01 Lab,02905,0,ARRGT,ARR ARR
MECH,103 Engineering Graphics,01,02907,2,TU14.50-15.40,VSCI 255
MECH,103 Engineering Graphics,02,02951,2,TH14.50-15.40,VSCI 255
MECH,103 Engineering Graphics,01 Lab,02908,0,TU16.15-18.45,VSCI 255
MECH,103 Engineering Graphics,02 Lab,02916,0,TH16.15-18.45,VSCI 255
MECH,211 Statics,01,02781,3,"TU,TH12-13.15",VMMC 214
MECH,251 Numerical Computing for Engineers,01,02805,2,"M,W12-12.50",VSCI 255
MECH,301 Thermodynamics,01,02782,3,"M,W14.50-16.05",VECS 105
MECH,303 Fluid Mechanics,01,02783,3,"TU,TH12-13.15",VECS 104
MECH,304 Introduction to Electronic Circuits,01,02806,3,"TU,TH13.25-14.40",VECS 104
MECH,309 [M] Introduction of Engineering Materials,01,02807,3,"M,W10.35-11.25",VSCI 12
MECH,309 [M] Introduction of Engineering Materials,01 Lab,02808,0,TU7.45-10.15,VSCI 158
MECH,309 [M] Introduction of Engineering Materials,02 Lab,02809,0,W7.45-10.15,VSCI 158
MECH,309 [M] Introduction of Engineering Materials,03 Lab,02810,0,TH7.45-10.15,VSCI 158
MECH,309 [M] Introduction of Engineering Materials,04 Lab,02836,0,F7.45-10.15,VSCI 158
MECH,402 Thermal Systems Design,01,02811,3,M12-12.50,VMMC 22
MECH,402 Thermal Systems Design,01 Lab,02812,0,"M,W13.25-15.55",VSCI 160
MECH,402 Thermal Systems Design,02 Lab,02813,0,"TU,TH10.35-13.05",VSCI 160
MECH,414 Machine Design II,01,02784,3,"TU,TH9.10-10.25",VECS 104
MECH,416 [M] Mechanical Systems Design I,01,02814,2,"TU,TH16.15-17.05",VECS 105
MECH,439 Foundations of Aerodynamics,01,02915,3,"M,W16.15-17.30",VECS 122
MECH,483 Topics in Mechanical Engineering,01,13042,3,"W,F12-13.15",VMMC 22
MECH,489 Material Failure in Mechanical Design,01,13041,3,"M,W9.10-10.25",VMMC 217
MECH,499 Special Problems,01,02953,1,ARRGT,ARR ARR
MECH,501 Digital Design and Manufacturing,01,02919,3,"TU,TH14.50-16.05",AMS VAN
MECH,532 Finite Elements,01,13047,3,"M,W10.35-11.50",VLIB 260
MECH,579 Advanced Topics in Design and Manufacturing,01,03036,3,"M,W9.10-10.25",VSCI 19
MECH,"700 Master's Research, Thesis, and/or Examination",01,02785,V,ARRGT,ARR ARR
MED_CLIN,522 Longitudinal Integrated Clerkship II,01,03247,14,ARRGT,ARR ARR
MED_LMH,521 Quality and Safety in Healthcare: Medical Errors,01,03248,1,ARRGT,ARR ARR
MED_LMH,531 Personal Leadership Development I,01,16306,1,ARRGT,ARR ARR
MGMT,301 Principles of Management and Organization,01,02418,3,"M,W13.25-14.40",VMMC 22
MGMT,301 Principles of Management and Organization,02,02419,3,TH18-20.45,VMMC 22
MGMT,401 Leading People and Organizations,01,02417,3,TH18-20.45,VUB 121
MGMT,456 [M] Evaluating and Rewarding Employees,01,02426,3,TU18-20.45,VMMC 23
MGMT,483 [M] Management of Innovation and Change,01,02439,3,"M,W9.10-10.25",VUB 121
MGMT,485 [M] Negotiation Skills,01,02427,3,"M,W14.50-16.05",VUB 121
MGMT,485 [M] Negotiation Skills,02,02440,3,W18-20.45,VUB 125
MGMT,487 Business Ethics and Corporate Responsibility,01,02428,3,"M,W16.15-17.30",VUB 121
MGMT,496 Seminar,01,12983,3,"M,W12-13.15",VMMC 214
MGTOP,215 Business Statistics,01,02420,4,"TU,TH16.15-17.30",VUB 121
MGTOP,215 Business Statistics,01 Lab,02421,0,"TU,TH17.45-18.40",VUB 100
MGTOP,340 Operations Management,01,02441,3,TU16.15-17.30,VMMC 22
MGTOP,340 Operations Management,02,02434,3,W16.15-17.30,VUB 125
MIL_SCI,101 The United States Army,01,02759,1,ARRGT,ARR ARR
MIL_SCI,201 Introduction to Leadership,01,02760,2,ARRGT,ARR ARR
MIL_SCI,301 Applied Leadership and Management,01,02761,3,ARRGT,ARR ARR
MIL_SCI,401 Advanced Military Leadership,01,02762,3,ARRGT,ARR ARR
MIL_SCI,499 Special Problems,01,02763,V,ARRGT,ARR ARR
MIL_SCI,499 Special Problems,02,13520,V,ARRGT,ARR ARR
MIL_SCI,499 Special Problems,03,13521,V,ARRGT,ARR ARR
MIL_SCI,499 Special Problems,04,13522,V,ARRGT,ARR ARR
MIS,250 Managing Information Technology,01,03190,3,"M,W9.10-10.25",VECS 104
MIS,250 Managing Information Technology,02,14794,3,"TU,TH14.50-16.05",VUB 125
MIS,322 [M] Enterprise Business Process Analysis,01,02406,3,"TU,TH9.10-10.25",VUB 121
MIS,325 Enterprise Business Development,01,02435,3,"TU,TH12-13.15",VUB 100
MIS,499 Special Problems,01,03059,V,ARRGT,ARR ARR
MIT,502 Assessment for Teaching and Learning,01,03108,3,TU17.45-20.30,VUB 124
MIT,505 Classroom Management Seminar,01,02963,3,W16.15-19.05,VUB 222
MIT,505 Classroom Management Seminar,02,03007,3,TH17-19.45,VUB 126
MIT,507 Teacher Inquiry and Praxis,01,03004,3,M17.45-20.30,VUB 122
MIT,530 Elementary School Social Studies Methods,01,02645,3,W8.35-11.25,VUB 107
MIT,532 Literacy Development II,01,02646,3,F8.35-11.25,VUB 107
MIT,533 Elementary School Mathematics Methods,01,02964,3,W12.35-15.25,VUB 226
MIT,534 Elementary School Science Methods,01,02965,3,F12.35-15.25,VUB 226
MIT,537 Problem Solving in Elementary Mathematics,01,02966,1,TH14.10-16,VUB 226
MIT,571 Pre-internship and Seminar,01,02647,2,TH16.15-17.45,VUB 222
MIT,571 Pre-internship and Seminar,02,02648,2,W17.45-19.15,VUB 122
MIT,571 Pre-internship and Seminar,01 Lab,02649,0,ARRGT,ARR ARR
MIT,571 Pre-internship and Seminar,02 Lab,02650,0,ARRGT,ARR ARR
MKTG,279 [COMM] Professional Persuasive Communications,01,13038,3,"M,W14.50-16.05",VMMC 23
MKTG,360 Marketing,01,02414,3,M16.15-17.30,VMMC 22
MKTG,360 Marketing,02,02415,3,W10.35-11.50,VECS 105
MKTG,379 Professional Sales,01,02416,3,"M,W14.50-16.05",VUB 107
MKTG,407 Consumer Behavior,01,02413,3,"M,W9.10-10.25",VECS 105
MKTG,480 Business to Business Marketing,01,03060,3,W18-20.45,VUB 225
MKTG,495 [M] Marketing Management,01,02407,3,W11.10-14,VUB 225
NEUROSCI,138 Neuroscience Seminar,01,03162,1,M9.10-10,VMMC 16
NEUROSCI,333 Techniques and Experimental Design in Neuroscience Research,01,02860,4,"TU,TH10.35-11.50",GUC VAN
NEUROSCI,333 Techniques and Experimental Design in Neuroscience Research,01 Lab,02861,0,M14.50-17.30,VSCI 114
NEUROSCI,403 [M] Cellular Neurobiology,01,02846,3,"M,W,F12-12.50",VLIB 260
NEUROSCI,495 Directed Research,01,02727,V,ARRGT,ARR ARR
NEUROSCI,499 Special Problems,01,02592,V,ARRGT,ARR ARR
NEUROSCI,531 Neuroscience Laboratory Rotation,01,02874,1,ARRGT,ARR ARR
NEUROSCI,590 Seminar,01,02606,1,F12.10-13.30,VMMC 102Q
NEUROSCI,592 Research Writing and Seminar,01,02886,2,TU15.30-17.30,VECS 309
NEUROSCI,592 Research Writing and Seminar,F15-16,VECS 309,Aug 24--Dec 11, ,""
NEUROSCI,"800 Doctoral Research, Dissertation, and/or Examination",01,02591,V,ARRGT,ARR ARR
NURS,360 Professional Nursing Concepts and Issues,01,02448,2,ARRGT,ARR ARR
NURS,360 Professional Nursing Concepts and Issues,02,02467,2,ARRGT,ARR ARR
NURS,365 Nursing Concepts: Assessment and Application of Physiological Concepts to Nursing Practice I,01,02449,2,ARRGT,ARR ARR
NURS,365 Nursing Concepts: Assessment and Application of Physiological Concepts to Nursing Practice I,02,02468,2,ARRGT,ARR ARR
NURS,400 [M] Nursing Research and Evidence-Based Practice,01,02452,3,ARRGT,ARR ARR
NURS,400 [M] Nursing Research and Evidence-Based Practice,02,02470,3,ARRGT,ARR ARR
NURS,405 Nursing Leadership,01,02450,2,ARRGT,ARR ARR
NURS,405 Nursing Leadership,02,02469,2,ARRGT,ARR ARR
NURS,440 [M] Population Health Theory,01,02451,3,ARRGT,ARR ARR
NURS,440 [M] Population Health Theory,02,02472,3,ARRGT,ARR ARR
NURS,462 Selected Nursing Concepts: Psychiatric/Mental Health,01,02453,2,ARRGT,ARR ARR
NURS,462 Selected Nursing Concepts: Psychiatric/Mental Health,02,02471,2,ARRGT,ARR ARR
NURS,465 Application of Population Health Principles,01,02462,3,ARRGT,ARR ARR
NURS,465 Application of Population Health Principles,02,02485,3,ARRGT,ARR ARR
NURS,465 Application of Population Health Principles,03,16307,3,ARRGT,ARR ARR
NURS,471 Foundations of Occupational and Environmental Health Practice,01,02514,3,ARRGT,ARR ARR
NURS,471 Foundations of Occupational and Environmental Health Practice,02,02515,3,ARRGT,ARR ARR
NURS,477 Health Care Ethics,01,02454,V,ARRGT,ARR ARR
NURS,477 Health Care Ethics,02,02473,V,ARRGT,ARR ARR
NURS,495 [CAPS] Advanced Practicum,01,02455,3,ARRGT,ARR ARR
NURS,495 [CAPS] Advanced Practicum,02,02486,3,ARRGT,ARR ARR
NURS,499 Special Problems,01,02456,V,ARRGT,ARR ARR
NURS,508 Diagnostics and Procedures for Primary Care Practice,01 Lab,02484,0,ARRGT,ARR ARR
NURS,508 Diagnostics and Procedures for Primary Care Practice,02 Lab,13495,0,ARRGT,ARR ARR
NURS,553 Organizational Systems and Leadership II,01 Lab,02505,0,ARRGT,ARR ARR
NURS,553 Organizational Systems and Leadership II,02 Lab,02506,0,ARRGT,ARR ARR
NURS,555 PMHNP Practicum I,01 Lab,02507,0,ARRGT,ARR ARR
NURS,555 PMHNP Practicum I,02 Lab,02508,0,ARRGT,ARR ARR
NURS,558 DNP Project II,01 Lab,02460,0,ARRGT,ARR ARR
NURS,558 DNP Project II,02 Lab,02504,0,ARRGT,ARR ARR
NURS,562 Advanced Health Assessment and Differential Diagnoses,01 Lab,02511,0,TU8.10-11,ARR ARR
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU8.10-11,ARR ARR,Sep 22--Sep 22, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU8.10-11,ARR ARR,Oct 20--Oct 20, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,W8.10-11,ARR ARR,Nov 18--Nov 18, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU8.10-11,ARR ARR,Dec 01--Dec 01, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU9.30-15,ARR ARR,Dec 15--Dec 15, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,02 Lab,15658,0,TU11.10-14,ARR ARR
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU11.10-14,ARR ARR,Sep 22--Sep 22, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU11.10-14,ARR ARR,Oct 20--Oct 20, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,W11.10-14,ARR ARR,Nov 18--Nov 18, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU11.10-14,ARR ARR,Dec 01--Dec 01, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU9.30-15,ARR ARR,Dec 15--Dec 15, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,03 Lab,03212,0,TU14.10-17,ARR ARR
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU14.10-17,ARR ARR,Sep 22--Sep 22, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU14.10-17,ARR ARR,Oct 20--Oct 20, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,W14.10-17,ARR ARR,Nov 18--Nov 18, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU14.10-17,ARR ARR,Dec 01--Dec 01, ,""
NURS,562 Advanced Health Assessment and Differential Diagnoses,TU9.30-15,ARR ARR,Dec 15--Dec 15, ,""
NURS,576 Organizational Systems and Leadership I,01 Lab,03024,0,ARRGT,ARR ARR
NURS,576 Organizational Systems and Leadership I,02 Lab,03026,0,ARRGT,ARR ARR
NURS,583 DNP Population Health Practicum,01,02487,V,ARRGT,ARR ARR
NURS,583 DNP Population Health Practicum,02,02500,V,ARRGT,ARR ARR
NURS,597 Advanced Topics in Nursing,01,02513,V,ARRGT,ARR ARR
NURS,599 Independent Study,01,02509,V,ARRGT,ARR ARR
NURS,599 Independent Study,02,02516,V,ARRGT,ARR ARR
PHYSICS,101 [PSCI] General Physics,01 Lab,02729,0,TH7.45-10.25,VCLS 150
PHYSICS,101 [PSCI] General Physics,02 Lab,02730,0,TH10.35-13.15,VCLS 150
PHYSICS,101 [PSCI] General Physics,03 Lab,02731,0,TH13.25-16.05,VCLS 150
PHYSICS,101 [PSCI] General Physics,04 Lab,03228,0,TH17.45-20.25,VCLS 150
PHYSICS,201 [PSCI] Physics for Scientists and Engineers I,01,02732,4,"M,W,F8.10-9",VUB 1
PHYSICS,201 [PSCI] Physics for Scientists and Engineers I,01 Lab,02733,0,M14.50-17.30,VCLS 150
PHYSICS,201 [PSCI] Physics for Scientists and Engineers I,02 Lab,02734,0,M17.45-20.25,VCLS 150
PHYSICS,201 [PSCI] Physics for Scientists and Engineers I,03 Lab,02850,0,TU7.45-10.25,VCLS 150
PHYSICS,202 [PSCI] Physics for Scientists and Engineers II,01 Lab,03199,0,F10.35-13.15,VCLS 150
POL_S,101 [SSCI] American National Government,01,02607,3,"TU,TH10.35-11.50",VMMC 1
POL_S,101 [SSCI] American National Government,03,16068,3,"TU,TH13.25-14.40",VLIB 264
POL_S,103 [SSCI] International Politics,01,03068,3,"TU,TH12-13.15",VMMC 1
POL_S,103 [SSCI] International Politics,03,16070,3,"TU,TH9.10-10.25",VLIB 264
POL_S,300 The American Constitution,01,02887,3,"M,W12-13.15",VLIB 261
POL_S,301 Political Simulations,01,03005,3,"M,W14.50-16.05",VMMC 214
POL_S,316 American Public Policy,01,02608,3,"M,W9.10-10.25",VDEN 129
POL_S,420 Political Parties and Interest Groups,01,13060,3,"M,W13.25-14.40",VLIB 260
POL_S,424 [M] US National Security Policy,01,14881,3,"TU,TH14.50-16.05",VLIB 264
POL_S,"700 Master's Research, Thesis, and/or Examination",01,02594,V,ARRGT,ARR ARR
PREV_SCI,512 Finite and Growth Mixture Modeling,01,12093,3,"TU,TH14.55-16.10",VECS 122
PREV_SCI,"700 Master's Research, Thesis, and/or Examination",01,02829,V,ARRGT,ARR ARR
PREV_SCI,"800 Doctoral Research, Dissertation, and/or Examination",01,02830,V,ARRGT,ARR ARR
PSYCH,110 Introduction to Addiction Studies,01,02613,3,"M,W9.10-10.25",VDEN 110
PSYCH,210 Psychology as a Science,01,02859,3,ARRGT,ARR ARR
PSYCH,265 Biopsychological Effects of Alcohol and Other Drugs,01,02818,3,ARRGT,ARR ARR
PSYCH,306 Industrial Psychology,01,13506,3,ARRGT,ARR ARR
PSYCH,308 Organizational Psychology,01,02970,3,ARRGT,ARR ARR
PSYCH,312 [M] Research Methods in Psychology,01,02614,4,ARRGT,ARR ARR
PSYCH,328 [M] Self Control,01,13527,3,"M,W10.35-11.50",VMMC 219
PSYCH,333 Abnormal Psychology,01,02617,3,ARRGT,ARR ARR
PSYCH,342 Assessment and Treatment of Dual Diagnosis,01,02618,3,ARRGT,ARR ARR
PSYCH,350 Social Psychology,01,02619,3,ARRGT,ARR ARR
PSYCH,350 Social Psychology,02,03178,3,"TU,TH12-13.15",VDEN 110
PSYCH,361 Developmental Psychology,01,02621,3,ARRGT,ARR ARR
PSYCH,372 [BSCI] Biological Basis of Behavior,01,02971,3,"M,W12-13.15",GUC VAN
PSYCH,403 Multicultural Psychology,01,14812,3,ARRGT,ARR ARR
PSYCH,490 Cognition and Memory,01,02972,3,ARRGT,ARR ARR
PSYCH,496 Cooperative Education Internship,01,02623,V,ARRGT,ARR ARR
PSYCH,497 Instructional Practicum,01,02624,V,ARRGT,ARR ARR
PSYCH,498 Research Participation,01,02625,V,ARRGT,ARR ARR
PSYCH,499 Special Problems,01,02626,V,ARRGT,ARR ARR
PSYCH,514 Psychometrics,01,13600,3,"TU,TH14.55-16.10",VCLS 208J
PSYCH,518 Lifespan Developmental Psychology,01,13620,3,"TU,TH13.30-14.45",VCLS 208J
PSYCH,577 Behavioral Pharmacology,01,15455,3,"TU,TH13.30-14.45",VECS 209
PSYCH,"700 Master's Research, Thesis, and/or Examination",01,02536,V,ARRGT,ARR ARR
PSYCH,"800 Doctoral Research, Dissertation, and/or Examination",01,02537,V,ARRGT,ARR ARR
SOC,101 [SSCI] Introduction to Sociology,01,02627,3,"M,W13.25-14.40",VMMC 6
SOC,320 Introduction to Social Research,01,02628,3,"W,F10.35-11.50",VMMC 16
SOC,340 [DIVR] Social Inequality,01,02920,3,"TU,TH12-13.15",VUB 125
SOC,350 Social Psychology,01,02620,3,ARRGT,ARR ARR
SOC,350 Social Psychology,02,03179,3,"TU,TH12-13.15",VDEN 110
SOC,351 [DIVR] The Family,01,02629,3,M10.35-11.50,VMMC 16
SOC,361 [DIVR] Criminology,01,02631,3,"TU,TH10.35-11.50",VMMC 16
SOC,362 Juvenile Delinquency,01,02957,3,ARRGT,ARR ARR
SOC,384 Sociology of Gender,01,13442,3,"M,W12-13.15",VMMC 6
SOC,495 [CAPS] [M] Internship Capstone,01,02538,3,ARRGT,ARR ARR
SOC,"800 Doctoral Research, Dissertation, and/or Examination",01,02539,V,ARRGT,ARR ARR
SOE,"110 [BSCI] The Environment, Human Life, and Sustainability",01,02704,4,"W,F12-13.15",VECS 104
SOE,"110 [BSCI] The Environment, Human Life, and Sustainability",01 Lab,02705,0,TH7.45-10.25,VSCI 101
SOE,"110 [BSCI] The Environment, Human Life, and Sustainability",02 Lab,02706,0,TH10.35-13.15,VSCI 101
SOE,"110 [BSCI] The Environment, Human Life, and Sustainability",03 Lab,02707,0,TH13.25-16.05,VSCI 101
SOE,390 Living on the Edge: Global Climate Change and Earth History,01,02906,3,"M,W13.25-14.40",VECS 122
SOE,444 Environmental Assessment,01,02708,3,TH13.25-14.40,VECS 120
SOE,445 Hazardous Waste Management,01,13514,3,"TU,TH16.15-17.30",VMMC 202Q
SOE,476 Biology and Ecology of Pacific Salmon,01,03192,3,"TU,TH16.25-17.40",VECS 209
SOE,499 Special Problems,01,02589,V,ARRGT,ARR ARR
SOE,510 Species Distribution Modeling,01,15517,3,"TU,TH9.10-10.25",VMMC 202Q
SOE,526 Ecology of the Columbia River,01,14906,3,W12-14.50,VECS 125
SOE,544 Environmental Assessment,01,02709,3,TH13.25-14.40,VECS 120
SOE,545 Hazardous Waste Management,01,13515,3,"TU,TH16.15-17.30",VMMC 202Q
SOE,576 Biology and Ecology of Pacific Salmon,01,03193,3,"TU,TH16.25-17.40",VECS 209
SOE,598 Seminar,01,03095,1,ARRGT,ARR ARR
SOE,"700 Master's Research, Thesis, and/or Examination",01,02586,V,ARRGT,ARR ARR
SOE,"800 Doctoral Research, Dissertation, and/or Examination",01,02587,V,ARRGT,ARR ARR
SPANISH,101 First Semester,01,02744,4,"TU,TH13.25-14.40",VUB 124
SPANISH,101 First Semester,TH14.50-15.40,VCLS 224,Aug 24--Dec 11, ,""
SPANISH,101 First Semester,02,02745,4,"M,W,F12-12.50",VUB 126
SPANISH,101 First Semester,W14.50-15.40,VCLS 224,Aug 24--Dec 11, ,""
SPANISH,203 Third Semester,01 Lab,02748,0,ARRGT,ARR ARR
SPANISH,499 Special Problems,01,12768,V,ARRGT,ARR ARR
SPEC_ED,301 Education of Exceptional Children,01,02632,3,ARRGT,ARR ARR
SPEC_ED,401 Teaching Students with Disabilities,01,02633,3,ARRGT,ARR ARR
SPEC_ED,404 Professional Skills in Special Education,01,02634,3,ARRGT,ARR ARR
SPEC_ED,409 Early Childhood Special Education,01,02635,3,ARRGT,ARR ARR
SPEC_ED,421 Inclusion Strategies for Special Education Teachers,01,02636,3,ARRGT,ARR ARR
SPEC_ED,591 Response to Intervention Across the Core Academic Curriculum,01,12982,3,W17.45-20.30,VECS 209
SPEC_ED,596 Seminar in Quality Indicators for Research in Special Education,01,03202,1,W16.10-17,VMMC 102Q
STAT,212 [QUAN] Introduction to Statistical Methods,01,02764,4,"M,W9.10-10.25",VUB 226
STAT,212 [QUAN] Introduction to Statistical Methods,01 Lab,02765,0,"TU,TH9.10-10",VCLS 224
STAT,360 Probability and Statistics,01,02766,3,"TU,TH9.10-10.25",VMMC 219
STAT,360 Probability and Statistics,02,02767,3,"TU,TH10.35-11.50",VMMC 23
STAT,360 Probability and Statistics,03,02928,3,"TU,TH13.25-14.40",VMMC 23
STAT,423 Statistical Methods for Engineers and Scientists,01,02768,3,"W,F10.35-11.50",VECS 125
STAT,435 [M] Statistical Modeling for Data Analytics,02,15431,3,"M,W14.10-15",VECS 209
STAT,435 [M] Statistical Modeling for Data Analytics,02 Lab,15432,0,F15.10-17,VECS 120
STAT,443 Applied Probability,01,13535,3,"TU,TH9.10-10.25",AMS VAN
STAT,446 Statistical Applications in Insurance,01,15068,3,ARRGT,ARR ARR
STAT,523 Statistical Methods for Engineers and Scientists,01,02769,3,"W,F10.35-11.50",VECS 125
STAT,536 Statistical Computing,01,03221,3,"M,W15.10-16",VMMC 202Q
STAT,536 Statistical Computing,01 Lab,03222,0,F15.10-16,ARR ARR
STAT,572 Quality Control,01,15514,3,"M,W,F10.10-11",VMMC 202Q
STAT,576 Bayesian Analysis,01,15515,3,"TU,TH12.05-13.20",VMMC 102Q
STAT,591 Seminar in Statistics,01,03230,1,W16.10-17,VMMC 202Q
STAT,"800 Doctoral Research, Dissertation, and/or Examination",01,03229,V,ARRGT,ARR ARR
TCH_LRN,305 Fundamentals of Instruction,01,02637,2,"M,F8.10-9",VUB 221
TCH_LRN,307 Survey of Children's Literature,01,02855,3,W11.10-14,VUB 221
TCH_LRN,310 [M] Classroom Management,01,02638,2,M8.10-10,VUB 225
TCH_LRN,322 [M] Reading and Writing in Grades 4 - 8,01,03127,3,W17.10-19.55,VUB 221
TCH_LRN,330 Diversity in Education,01,02930,3,M11.10-14,VUB 221
TCH_LRN,333 Introduction to English as a Second Language (ESL),01,02639,3,F11.10-14,VUB 225
TCH_LRN,339 Communicating in Diverse Classrooms,01,02640,3,W14.10-17,VUB 221
TCH_LRN,339 Communicating in Diverse Classrooms,02,13631,3,M16.30-18.30,ARR ARR
TCH_LRN,371 Teaching Elementary Science,01,13632,3,TH16.30-19.30,ARR ARR
TCH_LRN,402 Instructional Practicum I,01,02658,1,F14.10-15,VUB 221
TCH_LRN,409 Fundamentals of Curriculum and Assessment for Teaching English Language Learners,01,15562,3,ARRGT,ARR ARR
TCH_LRN,415 Student Teaching,01,02641,V,M17.45-20,VUB 303
TCH_LRN,415 Student Teaching,01 Lab,02642,0,ARRGT,ARR ARR
TCH_LRN,433 Middle Level Mathematics Methods,01,02898,3,M16.45-19.30,AMS VAN
TCH_LRN,434 Conceptualization of Proportional Thinking,01,02643,3,TH16.15-19,AMS VAN
TCH_LRN,445 Elementary Methods of Educational Technology,01,02962,2,"M,F9.10-10",VUB 221
TCH_LRN,445 Elementary Methods of Educational Technology,02,13633,2,TU18.30-19.30,ARR ARR
TCH_LRN,445 Elementary Methods of Educational Technology,01 Lab,02978,0,ARRGT,ARR ARR
TCH_LRN,445 Elementary Methods of Educational Technology,02 Lab,13634,0,ARRGT,ARR ARR
TCH_LRN,490 [CAPS] Advanced Practicum for Elementary Teachers,01,02644,3,M14.10-16.30,VUB 221
