Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
CROP_SCI,360,World Agricultural Systems,01,10919,3,ARRGT,ARR ARR,P Jacoby
DATA,115,Introduction to Data Analytics,02,11193,3,"M,W,F11.10-12",WEB ARR,D Deford
DATA,424,[CAPS] [M] Data Analytics Capstone,03,15546,3,M16.10-17,WEB ARR,R Crate
E_E,234,Microprocessor Systems,01,10679,4,"M,W11.10-12.25",WEB ARR,J Murray
E_E,234,Microprocessor Systems,01 Lab,10694,0,F10.10-13,WEB ARR,J Murray
E_E,341,Signals and Systems,01,10680,3,"TU,TH14.50-16.05",WEB ARR,K Sivakumar
E_E,351,Distributed Parameter Systems,01,10681,3,"M,W,F8.10-9",WEB ARR,P Pedrow
E_E,361,Electrical Power Systems,01,10682,3,"TU,TH12.10-13.25",WEB ARR,S Xie
E_E,362,Power System Laboratory I,01,11115,3,M9.10-10,WEB ARR,S Xie
E_E,362,Power System Laboratory I,01 Lab,11116,0,"M,W10.10-13",EVRT 455,S Xie
E_E,416,[CAPS] [M] Electrical Engineering Design,01,10686,3,"TU,TH12.10-13.25",WEB ARR,J Murray
E_E,416,[CAPS] [M] Electrical Engineering Design,01 Lab,10698,0,TH14.55-17.45,EVRT 451,J Murray
E_E,451,Digital Communication Systems,01,10685,3,"M,W,F10.10-11",WEB ARR,B Belzer
E_E,483,Topics in Electrical and Computer Engineering,01,11094,V,"TU,TH13.30-14.45",WEB ARR,M Kejariwal
E_E,485,Electric Energy Distribution Systems,01,11286,3,"TU,TH9.10-10.25",WEB ARR,A Dubey
E_E,486,Power Electronics,01,10708,3,"M,W7.45-9","",A Abu Hajar
E_E,488,Professional Practice Coop/Internship I,01,"",V,ARRGT,ARR ARR,S Brabb
ECONS,101,[SSCI] Fundamentals of Microeconomics,01,"",3,ARRGT,ARR ARR,A Salimgarieva
ECONS,102,[SSCI] Fundamentals of Macroeconomics,01,"",3,ARRGT,ARR ARR,G Shakil
ECONS,305,Intermediate Microeconomics without Calculus,01,"",3,ARRGT,ARR ARR,W Sugiarto
ECONS,351,Introduction to Food and Agricultural Markets,01,11040,3,ARRGT,ARR ARR,Y Zhang
ENGLISH,402,[WRTG] [M] Technical and Professional Writing,01,10709,3,ARRGT,ARR ARR,S Gowdy-Burke
ENGLISH,402,[WRTG] [M] Technical and Professional Writing,16,16022,3,"TU,TH10.35-11.50",WEB ARR,P Weatherly
