Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,230,Introduction to Financial Accounting,01,02210,3,"M,TU,W,TH,F10.30-11.45","",Scott Yonce
ACCTG,230,Introduction to Financial Accounting,03,02407,3,"M,TU,W,TH,F10.30-11.45","",Daniel Ferguson
ACCTG,231,Introduction to Managerial Accounting,01,02211,3,"M,TU,W,TH,F10.30-11.45","",Liancheng Fu
ACCTG,231,Introduction to Managerial Accounting,02,02408,3,"M,TU,W,TH,F10.30-11.45","",Han Yan
ACCTG,330,Intermediate Accounting I,01,02212,3,"M,TU,W,TH,F10.30-11.45","",Zhuoli Axelton
ACCTG,498,Accounting Internship,01,01476,V,ARRGT,ARR ARR,Susan Gill
ACCTG,702,"Master's Special Problems, Directed Study, and/or Examination",01,01478,V,ARRGT,ARR ARR,Susan Gill
ACCTG,800,"Doctoral Research, Dissertation, and/or Examination",01,01479,V,ARRGT,ARR ARR,Bernard Wong-On-Wing
AG_ED,497,Internship in Agricultural Education,01,01422,V,ARRGT,ARR ARR,John Baser
AG_ED,497,Internship in Agricultural Education,02,01702,V,ARRGT,ARR ARR,Anna Warner
AG_ED,499,Special Problems,01,01864,V,ARRGT,ARR ARR,Anna Warner
AGRI,700,"Master's Research, Thesis, and/or Examination",01,01423,V,ARRGT,ARR ARR,""
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,01424,V,ARRGT,ARR ARR,(multiple)
AGTM,481,Independent Research,01,01425,V,ARRGT,ARR ARR,James Durfey
AGTM,481,Independent Research,02,01426,V,ARRGT,ARR ARR,John Baser
AGTM,495,Internship in Agricultural Technology and Management,01,01427,V,ARRGT,ARR ARR,James Durfey
AGTM,495,Internship in Agricultural Technology and Management,02,01703,V,ARRGT,ARR ARR,John Baser
AGTM,499,Special Problems,01,01428,V,ARRGT,ARR ARR,James Durfey
AGTM,499,Special Problems,02,01429,V,ARRGT,ARR ARR,John Baser
AMDT,700,"Master's Research, Thesis, and/or Examination",01,01879,V,ARRGT,ARR ARR,Chan Mi Hwang
AMDT,700,"Master's Research, Thesis, and/or Examination",02,02069,V,ARRGT,ARR ARR,Hang Liu
AMDT,700,"Master's Research, Thesis, and/or Examination",03,02070,V,ARRGT,ARR ARR,Ting Chi
AMDT,700,"Master's Research, Thesis, and/or Examination",04,02073,V,ARRGT,ARR ARR,Chan Mi Hwang
AMER_ST,216,Introduction to American Cultural Studies,01,02503,3,"M,TU,W,TH,F15-17","",Veronica Sandoval
ANIM_SCI,481,Special Topics in Study Abroad: Animal Production Systems in the World,01,02497,V,ARRGT,ARR ARR,Martin Maquivar
ANIM_SCI,700,"Master's Research, Thesis, and/or Examination",03,02087,V,ARRGT,ARR ARR,(multiple)
ANTH,101,[DIVR] Introduction to Anthropology,01,02198,3,"M,TU,W,TH,F10.30-11.45","",Tiffany Alvarez
ANTH,101,[DIVR] Introduction to Anthropology,03,02398,3,"M,TU,W,TH,F10.30-11.45","",Andrew Gillreath-Brown
ANTH,201,[HUM] Art and Society,01,02397,3,"M,TU,W,TH,F12-13.15","",Piyawit Moonkham
ANTH,300,Field Methods,01,02197,V,ARRGT,ARR ARR,Kenneth Lokensgard
ANTH,300,Field Methods,02,02456,V,ARRGT,ARR ARR,Kenneth Lokensgard
ANTH,300,Field Methods,03,02457,V,ARRGT,ARR ARR,""
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,01,02399,3,"M,TU,W,TH,F10.30-11.45","",Hannah Macintyre
