Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,230,Introduction to Financial Accounting,01,25669,3,ARRGT,ARR ARR,Nori Pearson
ACCTG,230,Introduction to Financial Accounting,02,25670,3,ARRGT,ARR ARR,Nori Pearson
ACCTG,231,Introduction to Managerial Accounting,01,25096,3,ARRGT,ARR ARR,Brandon Holbrook
ACCTG,231,Introduction to Managerial Accounting,02,25503,3,ARRGT,ARR ARR,Brandon Holbrook
ACCTG,331,Intermediate Accounting II,01,25216,3,ARRGT,ARR ARR,Jason Porter
ACCTG,331,Intermediate Accounting II,02,25506,3,ARRGT,ARR ARR,Jason Porter
ACCTG,433,[M] Accounting Systems and Auditing,01,25671,3,ARRGT,ARR ARR,Xinghua Gao
ACCTG,433,[M] Accounting Systems and Auditing,02,25672,3,ARRGT,ARR ARR,Xinghua Gao
ACCTG,433,[M] Accounting Systems and Auditing,03,25794,3,ARRGT,ARR ARR,Xinghua Gao
ACCTG,533,"Accounting, Performance Measurement and Controls",01,25524,3,ARRGT,ARR ARR,Michael Petersen
ACCTG,533,"Accounting, Performance Measurement and Controls",02,25525,3,ARRGT,ARR ARR,Michael Petersen
ACCTG,533,"Accounting, Performance Measurement and Controls",03,25526,3,ARRGT,ARR ARR,Michael Petersen
ACCTG,533,"Accounting, Performance Measurement and Controls",04,25527,3,ARRGT,ARR ARR,Michael Petersen
ACCTG,533,"Accounting, Performance Measurement and Controls",05,25528,3,ARRGT,ARR ARR,Michael Petersen
ACCTG,550,Introduction to Financial and Managerial Accounting,01,25338,3,ARRGT,ARR ARR,Bernard Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,02,25339,3,ARRGT,ARR ARR,""
ACCTG,550,Introduction to Financial and Managerial Accounting,03,25340,3,ARRGT,ARR ARR,Bernard Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,04,25341,3,ARRGT,ARR ARR,Bernard Wong-On-Wing
AFS,302,[M] Introduction to Agroecology,01,25198,3,ARRGT,ARR ARR,Kevin Murphy
AFS,445,Field Analysis of Sustainable Food Systems,01,25203,3,ARRGT,ARR ARR,Laurajean Lewis
AFS,545,Field Analysis of Sustainable Food Systems,01,25204,3,ARRGT,ARR ARR,Laurajean Lewis
